"code","name"
"1","Residential & commercial development"
"1.1","Housing & urban areas"
"1.2","Commercial & industrial areas"
"1.3","Tourism & recreation areas"
"2","Agriculture & aquaculture"
"2.1","Annual & perennial non-timber crops"
"2.1.1","Shifting agriculture"
"2.1.2","Small-holder farming"
"2.1.3","Agro-industry farming"
"2.1.4","Scale Unknown/Unrecorded"
"2.2","Wood & pulp plantations"
"2.2.1","Small-holder plantations"
"2.2.2","Agro-industry plantations"
"2.2.3","Scale Unknown/Unrecorded"
"2.3","Livestock farming & ranching"
"2.3.1","Nomadic grazing"
"2.3.2","Small-holder grazing, ranching or farming"
"2.3.3","Agro-industry grazing, ranching or farming"
"2.3.4","Scale Unknown/Unrecorded"
"2.4","Marine & freshwater aquaculture"
"2.4.1","Subsistence/artisanal aquaculture"
"2.4.2","Industrial aquaculture"
"2.4.3","Scale Unknown/Unrecorded"
"3","Energy production & mining"
"3.1","Oil & gas drilling"
"3.2","Mining & quarrying"
"3.3","Renewable energy"
"4","Transportation & service corridors"
"4.1","Roads & railroads"
"4.2","Utility & service lines"
"4.3","Shipping lanes"
"4.4","Flight paths"
"5","Biological resource use"
"5.1","Hunting & collecting terrestrial animals"
"5.1.1","Intentional use (species being assessed is the target)"
"5.1.2","Unintentional effects (species being assessed is not the target)"
"5.1.3","Persecution/control"
"5.1.4","Motivation Unknown/Unrecorded"
"5.2","Gathering terrestrial plants"
"5.2.1","Intentional use (species being assessed is the target)"
"5.2.2","Unintentional effects (species being assessed is not the target)"
"5.2.3","Persecution/control"
"5.2.4","Motivation Unknown/Unrecorded"
"5.3","Logging & wood harvesting"
"5.3.1","Intentional use: subsistence/small scale (species being assessed is the target [harvest]"
"5.3.2","Intentional use: large scale (species being assessed is the target)[harvest]"
"5.3.3","Unintentional effects: subsistence/small scale (species being assessed is not the target)[harvest]"
"5.3.4","Unintentional effects: large scale (species being assessed is not the target)[harvest]"
"5.3.5","Motivation Unknown/Unrecorded"
"5.4","Fishing & harvesting aquatic resources"
"5.4.1","Intentional use: subsistence/small scale (species being assessed is the target)[harvest]"
"5.4.2","Intentional use: large scale (species being assessed is the target)[harvest]"
"5.4.3","Unintentional effects: subsistence/small scale (species being assessed is not the target)[harvest]"
"5.4.4","Unintentional effects: large scale (species being assessed is not the target)[harvest]"
"5.4.5","Persecution/control"
"5.4.6","Motivation Unknown/Unrecorded"
"6","Human intrusions & disturbance"
"6.1","Recreational activities"
"6.2","War, civil unrest & military exercises"
"6.3","Work & other activities"
"7","Natural system modifications"
"7.1","Fire & fire suppression"
"7.1.1","Increase in fire frequency/intensity"
"7.1.2","Suppression in fire frequency/intensity"
"7.1.3","Trend Unknown/Unrecorded"
"7.2","Dams & water management/use"
"7.2.1","Abstraction of surface water (domestic use)"
"7.2.2","Abstraction of surface water (commercial use)"
"7.2.3","Abstraction of surface water (agricultural use)"
"7.2.4","Abstraction of surface water (unknown use)"
"7.2.5","Abstraction of ground water (domestic use)"
"7.2.6","Abstraction of ground water (commercial use)"
"7.2.7","Abstraction of ground water (agricultural use)"
"7.2.8","Abstraction of ground water (unknown use)"
"7.2.9","Small dams"
"7.2.10","Large dams"
"7.2.11","Dams (size unknown)"
"7.3","Other ecosystem modifications"
"8","Invasive & other problematic species, genes & diseases"
"8.1","Invasive non-native/alien species/diseases"
"8.1.1","Unspecified species"
"8.1.2","Named species"
"8.2","Problematic native species/diseases"
"8.2.1","Unspecified species"
"8.2.2","Named species"
"8.3","Introduced genetic material"
"8.4","Problematic species/diseases of unknown origin"
"8.4.1","Unspecified species"
"8.4.2","Named species"
"8.5","Viral/prion-induced diseases"
"8.5.1","Unspecified "species" (disease)"
"8.5.2","Named "species" (disease)"
"8.6","Diseases of unknown cause"
"9","Pollution"
"9.1","Domestic & urban waste water"
"9.1.1","Sewage"
"9.1.2","Run-off"
"9.1.3","Type Unknown/Unrecorded"
"9.2","Industrial & military effluents"
"9.2.1","Oil spills"
"9.2.2","Seepage from mining"
"9.2.3","Type Unknown/Unrecorded"
"9.3","Agricultural & forestry effluents"
"9.3.1","Nutrient loads"
"9.3.2","Soil erosion, sedimentation"
"9.3.3","Herbicides & pesticides"
"9.3.4","Type Unknown/Unrecorded"
"9.4","Garbage & solid waste"
"9.5","Air-borne pollutants"
"9.5.1","Acid rain"
"9.5.2","Smog"
"9.5.3","Ozone"
"9.5.4","Type Unknown/Unrecorded"
"9.6","Excess energy"
"9.6.1","Light pollution"
"9.6.2","Thermal pollution"
"9.6.3","Noise pollution"
"9.6.4","Type Unknown/Unrecorded"
"10","Geological events"
"10.1","Volcanoes"
"10.2","Earthquakes/tsunamis"
"10.3","Avalanches/landslides"
"11","Climate change & severe weather"
"11.1","Habitat shifting & alteration"
"11.2","Droughts"
"11.3","Temperature extremes"
"11.4","Storms & flooding"
"11.5","Other impacts"
"12","Other options"
"12.1","Other threat"
